,artists,popularity,follower
0,CarlyPearce,66,291523
1,DaBaby,84,10530730
2,RunTheJewels,63,1018313
3,DariusRucker,68,2367283
4,LuisFonsi,77,10871938
5,StarBoi3,55,26797
6,JuicyJ,76,2992622
7,MOGUAI,56,99578
8,RynWeaver,54,221681
9,YoungStonerLife,66,103670
10,GAYLE,71,556577
11,ChaseAtlantic,82,4474021
12,Disclosure,75,2092041
13,NathanielRateliff&TheNightSweats,63,568817
14,TylerFarr,53,698890
15,BurlIves,65,82167
16,KontraK,74,2080693
17,TheLowdownDrifters,49,15094
18,Solkatt,34,17796
19,JakeOwen,67,1840753
20,AndrewMcMahonintheWilderness,53,181686
21,SleazyWorldGo,67,129020
22,JazmineSullivan,66,1879737
23,NickiMinaj,87,27363454
24,88rising,70,879264
25,HarryStyles,91,26010213
26,ChancetheRapper,76,5819538
27,KanyeWest,92,19307755
28,CharliePuth,84,19389814
29,DenzelCurry,76,2258018
30,Metallica,84,23760177
31,LukasGraham,74,2032822
32,IrSais,59,76060
33,Gotye,69,2338154
34,BritneySpears,83,11900440
35,EdisonLighthouse,61,38705
36,KelseaBallerini,72,966914
37,SarahCothran,61,272354
38,Queen,87,45255240
39,GoldLink,68,827720
40,JesyNelson,43,39793
41,SaidTheSky,61,262240
42,PharrellWilliams,82,4123902
43,HARDY,78,303459
44,KSI,71,2533129
45,EttaJames,69,1439725
46,GnarlsBarkley,66,475520
47,BonnieTyler,68,1659423
48,KennyLoggins,70,933528
49,WATTS,44,7725
50,MatyNoyes,55,271695
51,SimpleMinds,68,1711654
52,MariahCarey,81,8637356
53,SmashMouth,67,923991
54,KYLE,67,1028510
55,SarahConnor,62,1037037
56,LouisTheChild,65,454294
57,DollyParton,74,2042584
58,DanteKlein,51,32329
59,ianndior,76,1684684
60,Sia,86,25650409
61,TheClash,72,2468873
62,ToveLo,77,3274709
63,TheophilusLondon,54,156525
64,Eyedress,75,1097437
65,Anne-Marie,80,10588271
66,KeyGlock,77,1463163
67,Smokepurpp,63,2439172
68,SevynStreeter,60,1295612
69,YoGotti,69,4123296
70,GabbyBarrett,66,258366
71,100gecs,62,481992
72,JnrChoi,61,56720
73,Axwell/\Ingrosso,67,2431453
74,EmBeihold,78,289059
75,AustynJohnson,47,5952
76,AndréAires,32,9749
77,MUNA,62,262527
78,GavinDeGraw,64,1250587
79,Bizarrap,90,9149033
