,artists,track_name,totalstreams,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,J.COLE,NOROLEMODELZ,734857487,292799.0,0,0.69,0.521,10.0,-8.492,0.0,0.339,0.324,0.0,0.0534,0.494,100.028,4.0
1,TRAVISSCOTT,GOOSEBUMPS,672972704,243836.0,0,0.841,0.728,7.0,-3.37,1.0,0.0484,0.0847,0.0,0.149,0.43,130.049,4.0
2,TRAVISSCOTT,GOOSEBUMPS,672972704,243836.0,0,0.841,0.728,7.0,-3.37,1.0,0.0484,0.0847,0.0,0.149,0.43,130.049,4.0
3,THEWEEKND,BLINDINGLIGHTS,644287953,200040.0,0,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,4.0
4,THEWEEKND,BLINDINGLIGHTS,644287953,201573.0,0,0.512,0.796,1.0,-4.075,1.0,0.0645,0.00147,0.000209,0.0938,0.344,171.014,4.0
5,THEWEEKND,BLINDINGLIGHTS,644287953,201573.0,0,0.512,0.796,1.0,-4.075,1.0,0.0645,0.00147,0.000209,0.0938,0.344,171.014,4.0
6,THEWEEKND,BLINDINGLIGHTS,644287953,201573.0,0,0.512,0.796,1.0,-4.075,1.0,0.0645,0.00147,0.000209,0.0938,0.344,171.014,4.0
7,THEWEEKND,BLINDINGLIGHTS,644287953,201573.0,0,0.512,0.796,1.0,-4.075,1.0,0.0645,0.00147,0.000209,0.0938,0.344,171.014,4.0
8,THEWEEKND,BLINDINGLIGHTS,585904,200040.0,0,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,4.0
9,THEWEEKND,BLINDINGLIGHTS,585904,201573.0,0,0.512,0.796,1.0,-4.075,1.0,0.0645,0.00147,0.000209,0.0938,0.344,171.014,4.0
10,THEWEEKND,BLINDINGLIGHTS,585904,201573.0,0,0.512,0.796,1.0,-4.075,1.0,0.0645,0.00147,0.000209,0.0938,0.344,171.014,4.0
11,THEWEEKND,BLINDINGLIGHTS,585904,201573.0,0,0.512,0.796,1.0,-4.075,1.0,0.0645,0.00147,0.000209,0.0938,0.344,171.014,4.0
12,THEWEEKND,BLINDINGLIGHTS,585904,201573.0,0,0.512,0.796,1.0,-4.075,1.0,0.0645,0.00147,0.000209,0.0938,0.344,171.014,4.0
13,XXXTENTACION,JOCELYNFLORES,624457164,119133.0,0,0.872,0.391,0.0,-9.144,0.0,0.242,0.469,4.13e-06,0.297,0.437,134.021,4.0
14,XXXTENTACION,JOCELYNFLORES,624457164,119133.0,0,0.872,0.391,0.0,-9.144,0.0,0.242,0.469,4.13e-06,0.297,0.437,134.021,4.0
15,XXXTENTACION,SAD!,619879245,166605.0,0,0.74,0.613,8.0,-4.88,1.0,0.145,0.258,0.00372,0.123,0.473,75.023,4.0
16,XXXTENTACION,SAD!,619879245,166605.0,0,0.74,0.613,8.0,-4.88,1.0,0.145,0.258,0.00372,0.123,0.473,75.023,4.0
17,XXXTENTACION,SAD!,619879245,166605.0,0,0.74,0.613,8.0,-4.88,1.0,0.145,0.258,0.00372,0.123,0.473,75.023,4.0
18,XXXTENTACION,SAD!,619879245,166605.0,0,0.74,0.613,8.0,-4.88,1.0,0.145,0.258,0.00372,0.123,0.473,75.023,4.0
19,XXXTENTACION,SAD!,619879245,166605.0,0,0.74,0.613,8.0,-4.88,1.0,0.145,0.258,0.00372,0.123,0.473,75.023,4.0
20,KENDRICKLAMAR,HUMBLE.,606305588,177000.0,0,0.908,0.621,1.0,-6.638,0.0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,4.0
21,TRAVISSCOTT,SICKOMODE,586638599,312820.0,0,0.834,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.008,4.0
