,artists,track_name,totalstreams,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,popularity,follower
0,J.COLE,NOROLEMODELZ,734857487,292799.0,0,0.69,0.521,10.0,-8.492,0.0,0.339,0.324,0.0,0.0534,0.494,100.028,4.0,88,19199065
1,TRAVISSCOTT,GOOSEBUMPS,672972704,243836.0,0,0.841,0.728,7.0,-3.37,1.0,0.0484,0.0847,0.0,0.149,0.43,130.049,4.0,91,21871186
2,TRAVISSCOTT,GOOSEBUMPS,672972704,243836.0,0,0.841,0.728,7.0,-3.37,1.0,0.0484,0.0847,0.0,0.149,0.43,130.049,4.0,91,21871186
3,TRAVISSCOTT,SICKOMODE,586638599,312820.0,0,0.834,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.008,4.0,91,21871186
4,TRAVISSCOTT,SICKOMODE,586638599,312820.0,0,0.834,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.008,4.0,91,21871186
5,TRAVISSCOTT,HIGHESTINTHEROOM,295198938,175720.0,0,0.598,0.427,7.0,-8.764,0.0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,4.0,91,21871186
6,TRAVISSCOTT,HIGHESTINTHEROOM,295198938,175720.0,0,0.598,0.427,7.0,-8.764,0.0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,4.0,91,21871186
7,TRAVISSCOTT,HIGHESTINTHEROOM,24051669,175720.0,0,0.598,0.427,7.0,-8.764,0.0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,4.0,91,21871186
8,TRAVISSCOTT,HIGHESTINTHEROOM,24051669,175720.0,0,0.598,0.427,7.0,-8.764,0.0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,4.0,91,21871186
9,TRAVISSCOTT,BUTTERFLYEFFECT,276763296,190557.0,0,0.763,0.628,11.0,-5.85,1.0,0.05,0.0531,0.0,0.114,0.193,140.958,4.0,91,21871186
10,TRAVISSCOTT,BUTTERFLYEFFECT,276763296,190557.0,0,0.764,0.628,11.0,-5.851,1.0,0.0503,0.053,0.0,0.114,0.196,140.963,4.0,91,21871186
11,TRAVISSCOTT,YOSEMITE,127780533,150043.0,0,0.785,0.554,0.0,-6.571,1.0,0.0409,0.283,3.4e-06,0.116,0.144,128.047,4.0,91,21871186
12,TRAVISSCOTT,ANTIDOTE,118146637,262693.0,0,0.713,0.526,1.0,-5.046,1.0,0.032,0.00767,0.000148,0.124,0.131,131.05,4.0,91,21871186
13,TRAVISSCOTT,STARGAZING,114669162,270714.0,0,0.487,0.789,8.0,-3.69,1.0,0.044,0.00947,4.05e-06,0.189,0.0564,150.007,4.0,91,21871186
14,TRAVISSCOTT,CAN'TSAY,25843133,198408.0,0,0.702,0.708,10.0,-5.366,0.0,0.0547,0.201,0.0,0.118,0.713,147.98,4.0,91,21871186
15,TRAVISSCOTT,WAKEUP,25512899,231963.0,0,0.741,0.645,11.0,-5.116,0.0,0.0963,0.192,0.0,0.163,0.488,149.07,4.0,91,21871186
